Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"2,664.05","2,669.00","2,647.15","2,650.45","2,655.45","2,654.80","2,660.03","2,867.00","2,062.10","5,187,085","13,797,810,036.50","126,625",HDFC
16-Jun-23,EQ,"2,630.00","2,664.00","2,626.05","2,620.15","2,650.95","2,650.45","2,640.16","2,867.00","2,026.00","11,656,470","30,774,979,210.80","141,657",HDFC
15-Jun-23,EQ,"2,647.75","2,652.15","2,618.00","2,645.85","2,619.65","2,620.15","2,633.76","2,867.00","2,026.00","3,498,981","9,215,486,227.55","133,342",HDFC
14-Jun-23,EQ,"2,651.00","2,656.00","2,640.80","2,645.90","2,646.00","2,645.85","2,650.16","2,867.00","2,026.00","4,681,618","12,407,044,031.95","104,610",HDFC
13-Jun-23,EQ,"2,636.75","2,654.80","2,634.90","2,640.80","2,653.00","2,645.90","2,644.89","2,867.00","2,026.00","5,516,136","14,589,584,622.50","204,702",HDFC
12-Jun-23,EQ,"2,660.00","2,664.00","2,638.80","2,652.90","2,642.75","2,640.80","2,644.79","2,867.00","2,026.00","3,275,459","8,662,895,016.30","120,137",HDFC
9-Jun-23,EQ,"2,664.00","2,667.90","2,646.85","2,653.80","2,652.35","2,652.90","2,659.01","2,867.00","2,026.00","4,348,281","11,562,120,240.15","105,203",HDFC
8-Jun-23,EQ,"2,636.10","2,678.00","2,636.10","2,648.55","2,655.00","2,653.80","2,663.12","2,867.00","2,026.00","2,072,748","5,519,984,592.25","67,668",HDFC
7-Jun-23,EQ,"2,642.75","2,655.00","2,631.60","2,635.35","2,654.00","2,648.55","2,642.27","2,867.00","2,026.00","2,694,134","7,118,630,354.70","111,118",HDFC
6-Jun-23,EQ,"2,645.95","2,649.00","2,624.85","2,644.80","2,641.60","2,635.35","2,634.68","2,867.00","2,026.00","4,846,536","12,769,047,387.90","93,140",HDFC
5-Jun-23,EQ,"2,658.00","2,661.90","2,642.00","2,645.90","2,644.00","2,644.80","2,653.04","2,867.00","2,026.00","4,714,971","12,508,983,160.75","92,945",HDFC
2-Jun-23,EQ,"2,651.50","2,655.00","2,634.55","2,646.70","2,641.85","2,645.90","2,644.61","2,867.00","2,026.00","4,065,864","10,752,611,434.00","149,323",HDFC
1-Jun-23,EQ,"2,670.00","2,670.00","2,638.80","2,640.40","2,645.15","2,646.70","2,657.69","2,867.00","2,026.00","3,666,667","9,744,871,692.55","133,117",HDFC
